timestamp,electricity_kwh,gas_m3,production_ton
2022-10-18 05:00:00,504.79,83.0,18.75
2022-10-18 06:00:00,514.38,89.41,20.52
2022-10-18 07:00:00,504.65,87.44,18.86
2022-10-18 08:00:00,521.85,83.61,20.99
2022-10-18 09:00:00,511.8,80.26,21.17
2022-10-18 10:00:00,523.57,77.78,21.0
2022-10-18 11:00:00,530.65,79.04,20.04
2022-10-18 12:00:00,525.36,74.51,23.2
2022-10-18 13:00:00,556.62,74.85,22.89
2022-10-18 14:00:00,546.98,73.18,25.04
2022-10-18 15:00:00,557.27,68.54,23.89
2022-10-18 16:00:00,565.51,71.91,24.16
2022-10-18 17:00:00,564.29,66.47,21.9
2022-10-18 18:00:00,564.98,67.07,22.41
2022-10-18 19:00:00,549.23,63.85,19.19
2022-10-18 20:00:00,538.65,67.12,21.44
2022-10-18 21:00:00,537.08,76.9,21.46
2022-10-18 22:00:00,505.67,67.85,20.89
2022-10-18 23:00:00,501.92,74.46,18.07
2022-10-19 00:00:00,496.86,73.41,15.7
2022-10-19 01:00:00,495.72,69.32,16.76
2022-10-19 02:00:00,511.98,80.96,17.01
2022-10-19 03:00:00,489.33,78.71,17.49
2022-10-19 04:00:00,496.03,83.04,14.67
2022-10-19 05:00:00,521.9,86.19,17.28
2022-10-19 06:00:00,499.66,83.82,16.63
2022-10-19 07:00:00,520.36,83.88,20.24
2022-10-19 08:00:00,501.0,78.89,16.42
2022-10-19 09:00:00,518.65,83.13,21.22
2022-10-19 10:00:00,514.77,78.34,20.59
2022-10-19 11:00:00,531.29,70.08,19.04
2022-10-19 12:00:00,555.91,77.9,24.13
2022-10-19 13:00:00,523.41,76.89,24.22
2022-10-19 14:00:00,560.54,76.18,24.4
2022-10-19 15:00:00,560.65,76.94,23.11
2022-10-19 16:00:00,549.39,70.78,22.09
2022-10-19 17:00:00,535.9,69.07,22.68
2022-10-19 18:00:00,556.08,70.82,22.78
2022-10-19 19:00:00,542.76,64.17,20.85
2022-10-19 20:00:00,548.49,62.22,19.75
2022-10-19 21:00:00,538.6,67.67,20.59
2022-10-19 22:00:00,555.01,75.47,19.46
2022-10-19 23:00:00,520.03,70.62,19.61
2022-10-20 00:00:00,501.35,76.63,19.71
2022-10-20 01:00:00,513.37,79.08,18.43
2022-10-20 02:00:00,509.28,79.85,15.72
2022-10-20 03:00:00,523.3,76.19,16.98
2022-10-20 04:00:00,514.23,83.13,17.57
2022-10-20 05:00:00,507.76,81.25,18.37
2022-10-20 06:00:00,526.95,88.96,18.91
2022-10-20 07:00:00,491.46,86.71,18.43
2022-10-20 08:00:00,505.4,80.58,18.64
2022-10-20 09:00:00,507.83,86.84,21.21
2022-10-20 10:00:00,523.17,80.2,21.23
2022-10-20 11:00:00,515.73,71.22,21.84
2022-10-20 12:00:00,552.83,74.73,21.28
2022-10-20 13:00:00,545.99,78.65,25.12
2022-10-20 14:00:00,531.96,68.13,23.2
2022-10-20 15:00:00,541.85,69.1,22.9
2022-10-20 16:00:00,563.0,63.31,23.2
2022-10-20 17:00:00,570.16,63.07,22.44
2022-10-20 18:00:00,584.95,64.08,20.57
2022-10-20 19:00:00,594.41,62.98,21.86
2022-10-20 20:00:00,551.22,65.91,19.03
2022-10-20 21:00:00,523.43,75.43,20.12
2022-10-20 22:00:00,499.0,70.87,17.31
2022-10-20 23:00:00,527.64,75.68,15.91
2022-10-21 00:00:00,504.5,78.82,18.61
2022-10-21 01:00:00,504.45,73.19,16.08
2022-10-21 02:00:00,496.8,76.09,17.62
2022-10-21 03:00:00,500.81,83.34,17.2
2022-10-21 04:00:00,517.69,79.71,17.28
2022-10-21 05:00:00,504.76,85.18,16.65
2022-10-21 06:00:00,502.62,88.87,17.72
2022-10-21 07:00:00,493.76,77.63,17.71
2022-10-21 08:00:00,489.88,80.68,20.36
2022-10-21 09:00:00,514.43,79.96,19.42
2022-10-21 10:00:00,528.21,77.16,20.48
2022-10-21 11:00:00,562.9,74.94,22.39
2022-10-21 12:00:00,545.26,73.28,21.38
2022-10-21 13:00:00,564.06,72.88,20.45
2022-10-21 14:00:00,546.53,71.58,21.62
2022-10-21 15:00:00,539.31,72.68,24.27
2022-10-21 16:00:00,543.82,67.98,23.0
2022-10-21 17:00:00,546.71,71.19,22.95
2022-10-21 18:00:00,586.93,64.93,22.48
2022-10-21 19:00:00,538.38,63.07,23.65
2022-10-21 20:00:00,557.58,67.01,18.29
2022-10-21 21:00:00,524.73,70.96,19.85
2022-10-21 22:00:00,544.95,74.01,19.26
2022-10-21 23:00:00,529.4,78.04,18.48
2022-10-22 00:00:00,514.35,76.02,12.58
2022-10-22 01:00:00,510.07,79.71,12.3
2022-10-22 02:00:00,496.16,83.79,10.86
2022-10-22 03:00:00,509.61,77.93,9.02
2022-10-22 04:00:00,494.87,81.19,14.13
2022-10-22 05:00:00,484.03,92.43,11.3
2022-10-22 06:00:00,485.83,86.0,11.73
2022-10-22 07:00:00,511.88,84.51,13.54
2022-10-22 08:00:00,538.69,85.06,12.02
2022-10-22 09:00:00,524.13,75.98,14.55
2022-10-22 10:00:00,527.24,76.74,13.14
2022-10-22 11:00:00,540.66,73.53,16.17
2022-10-22 12:00:00,562.89,76.47,14.93
2022-10-22 13:00:00,552.61,71.64,13.88
2022-10-22 14:00:00,547.86,71.33,17.5
2022-10-22 15:00:00,573.68,68.25,15.67
2022-10-22 16:00:00,564.73,62.38,14.15
2022-10-22 17:00:00,580.63,70.37,13.0
2022-10-22 18:00:00,557.75,60.83,15.22
2022-10-22 19:00:00,532.34,64.73,15.64
2022-10-22 20:00:00,524.48,63.47,13.97
2022-10-22 21:00:00,563.04,66.26,13.4
2022-10-22 22:00:00,556.84,71.71,14.37
2022-10-22 23:00:00,520.93,77.25,12.74
2022-10-23 00:00:00,510.95,69.54,10.83
2022-10-23 01:00:00,532.6,75.12,10.57
2022-10-23 02:00:00,489.38,72.88,11.78
2022-10-23 03:00:00,489.5,78.54,11.65
2022-10-23 04:00:00,511.35,82.18,12.42
2022-10-23 05:00:00,496.49,85.41,11.75
2022-10-23 06:00:00,504.92,75.59,12.44
2022-10-23 07:00:00,506.84,84.65,12.44
2022-10-23 08:00:00,520.06,78.52,13.65
2022-10-23 09:00:00,542.84,76.4,13.9
2022-10-23 10:00:00,530.38,79.24,13.19
2022-10-23 11:00:00,546.04,79.27,13.75
2022-10-23 12:00:00,512.55,74.65,14.77
2022-10-23 13:00:00,548.59,69.1,14.82
2022-10-23 14:00:00,541.37,70.65,16.46
2022-10-23 15:00:00,538.8,66.81,15.2
2022-10-23 16:00:00,545.13,70.19,13.18
2022-10-23 17:00:00,552.58,71.04,13.27
2022-10-23 18:00:00,568.74,70.54,14.09
2022-10-23 19:00:00,530.81,67.2,14.84
2022-10-23 20:00:00,545.46,72.0,12.63
2022-10-23 21:00:00,531.01,65.77,13.78
2022-10-23 22:00:00,526.07,77.24,11.57
2022-10-23 23:00:00,538.66,69.34,12.22
2022-10-24 00:00:00,524.77,67.89,18.38
2022-10-24 01:00:00,530.74,81.85,16.03
2022-10-24 02:00:00,503.66,76.51,17.58
2022-10-24 03:00:00,492.48,81.07,18.94
2022-10-24 04:00:00,498.34,78.32,16.87
2022-10-24 05:00:00,506.05,91.0,17.49
2022-10-24 06:00:00,507.65,89.38,18.18
2022-10-24 07:00:00,493.03,88.14,18.61
2022-10-24 08:00:00,516.36,82.24,19.25
2022-10-24 09:00:00,525.15,84.09,19.94
2022-10-24 10:00:00,566.78,78.81,18.9
2022-10-24 11:00:00,564.53,81.0,22.04
2022-10-24 12:00:00,530.5,73.56,20.83
2022-10-24 13:00:00,545.01,78.48,23.05
2022-10-24 14:00:00,532.07,69.39,23.74
2022-10-24 15:00:00,548.22,68.13,23.49
2022-10-24 16:00:00,563.04,66.44,21.84
2022-10-24 17:00:00,575.68,67.95,22.98
2022-10-24 18:00:00,544.06,65.64,21.86
2022-10-24 19:00:00,540.89,68.98,20.79
2022-10-24 20:00:00,512.79,66.39,23.25
2022-10-24 21:00:00,535.83,72.11,18.92
2022-10-24 22:00:00,515.04,76.31,19.82
2022-10-24 23:00:00,515.68,73.2,20.33
2022-10-25 00:00:00,503.55,82.76,18.34
2022-10-25 01:00:00,509.27,81.02,16.66
2022-10-25 02:00:00,479.61,86.48,16.44
2022-10-25 03:00:00,480.91,80.44,15.32
2022-10-25 04:00:00,533.64,76.11,17.21
2022-10-25 05:00:00,483.1,80.26,17.56
2022-10-25 06:00:00,488.55,80.89,17.58
2022-10-25 07:00:00,536.85,79.39,20.21
2022-10-25 08:00:00,558.58,74.24,19.18
2022-10-25 09:00:00,504.15,84.24,18.14
2022-10-25 10:00:00,523.5,72.49,22.6
2022-10-25 11:00:00,541.5,80.32,20.12
2022-10-25 12:00:00,569.23,82.65,22.78
2022-10-25 13:00:00,534.52,70.21,23.41
2022-10-25 14:00:00,550.34,72.36,22.85
2022-10-25 15:00:00,568.74,67.95,24.17
2022-10-25 16:00:00,564.82,70.97,23.04
2022-10-25 17:00:00,551.95,63.09,22.22
2022-10-25 18:00:00,552.99,66.54,19.67
2022-10-25 19:00:00,530.08,71.2,19.47
2022-10-25 20:00:00,541.43,67.9,24.13
2022-10-25 21:00:00,534.28,63.64,20.93
2022-10-25 22:00:00,534.46,75.35,20.78
2022-10-25 23:00:00,515.29,68.39,21.57
2022-10-26 00:00:00,523.77,75.28,17.5
2022-10-26 01:00:00,525.87,79.11,17.29
2022-10-26 02:00:00,508.31,79.42,15.18
2022-10-26 03:00:00,508.19,89.54,16.71
2022-10-26 04:00:00,502.5,84.5,16.78
2022-10-26 05:00:00,502.41,82.02,16.99
2022-10-26 06:00:00,494.18,85.11,19.2
2022-10-26 07:00:00,514.04,83.46,19.42
2022-10-26 08:00:00,513.54,82.08,20.39
2022-10-26 09:00:00,553.13,81.51,18.59
2022-10-26 10:00:00,552.62,77.48,20.87
2022-10-26 11:00:00,542.17,77.82,21.97
2022-10-26 12:00:00,531.86,73.23,24.42
2022-10-26 13:00:00,532.63,66.29,22.8
2022-10-26 14:00:00,571.89,74.99,22.76
2022-10-26 15:00:00,561.02,67.36,24.36
2022-10-26 16:00:00,565.5,68.57,22.65
2022-10-26 17:00:00,531.42,64.61,23.22
2022-10-26 18:00:00,568.91,64.44,22.71
2022-10-26 19:00:00,557.52,63.64,20.93
2022-10-26 20:00:00,528.34,71.39,20.01
2022-10-26 21:00:00,531.2,73.51,19.96
2022-10-26 22:00:00,534.94,71.09,18.7
2022-10-26 23:00:00,524.41,71.05,16.7
2022-10-27 00:00:00,512.32,69.07,18.74
2022-10-27 01:00:00,509.13,79.85,18.09
2022-10-27 02:00:00,502.2,76.63,16.21
2022-10-27 03:00:00,505.21,76.75,15.99
2022-10-27 04:00:00,523.77,82.03,17.69
2022-10-27 05:00:00,463.91,81.56,19.5
2022-10-27 06:00:00,501.45,77.69,19.1
2022-10-27 07:00:00,511.94,77.89,19.94
2022-10-27 08:00:00,519.44,83.11,18.86
2022-10-27 09:00:00,516.15,78.36,20.5
2022-10-27 10:00:00,502.67,80.79,20.62
2022-10-27 11:00:00,541.3,77.58,20.63
2022-10-27 12:00:00,569.21,78.67,22.36
2022-10-27 13:00:00,526.31,70.02,21.56
2022-10-27 14:00:00,566.98,71.81,22.0
2022-10-27 15:00:00,552.16,71.58,22.47
2022-10-27 16:00:00,557.38,65.88,22.49
2022-10-27 17:00:00,541.8,71.22,22.56
2022-10-27 18:00:00,549.98,61.17,19.64
2022-10-27 19:00:00,570.21,64.36,20.38
2022-10-27 20:00:00,553.74,62.11,22.66
2022-10-27 21:00:00,564.26,66.77,19.99
2022-10-27 22:00:00,548.64,70.46,19.9
2022-10-27 23:00:00,530.21,75.84,19.0
2022-10-28 00:00:00,542.86,74.46,17.75
2022-10-28 01:00:00,517.27,74.99,16.34
2022-10-28 02:00:00,518.4,73.58,16.44
2022-10-28 03:00:00,498.47,76.41,19.35
2022-10-28 04:00:00,502.7,83.01,16.46
2022-10-28 05:00:00,491.95,85.81,19.47
2022-10-28 06:00:00,519.84,81.53,17.38
2022-10-28 07:00:00,491.62,86.97,18.12
2022-10-28 08:00:00,526.74,78.6,19.32
2022-10-28 09:00:00,518.87,79.29,19.79
2022-10-28 10:00:00,546.59,77.93,19.65
2022-10-28 11:00:00,547.64,82.42,21.48
2022-10-28 12:00:00,570.61,75.47,20.35
2022-10-28 13:00:00,560.28,66.63,23.04
2022-10-28 14:00:00,530.44,74.33,23.17
2022-10-28 15:00:00,556.08,75.8,23.87
2022-10-28 16:00:00,540.72,67.2,22.3
2022-10-28 17:00:00,549.82,64.13,23.48
2022-10-28 18:00:00,577.67,70.02,22.64
2022-10-28 19:00:00,560.27,74.15,21.65
2022-10-28 20:00:00,534.52,71.04,23.15
2022-10-28 21:00:00,523.07,63.66,20.56
2022-10-28 22:00:00,531.47,73.64,18.67
2022-10-28 23:00:00,505.37,74.34,20.34
2022-10-29 00:00:00,506.63,71.66,12.23
2022-10-29 01:00:00,515.36,81.58,13.45
2022-10-29 02:00:00,523.31,80.53,8.89
2022-10-29 03:00:00,512.05,85.26,10.69
2022-10-29 04:00:00,467.33,78.21,10.76
2022-10-29 05:00:00,506.97,84.12,9.05
2022-10-29 06:00:00,506.08,79.87,11.82
2022-10-29 07:00:00,515.5,83.59,11.58
2022-10-29 08:00:00,539.24,87.1,10.1
2022-10-29 09:00:00,490.78,75.66,12.08
2022-10-29 10:00:00,520.15,74.21,15.17
2022-10-29 11:00:00,545.24,80.41,15.07
2022-10-29 12:00:00,519.58,74.95,13.52
2022-10-29 13:00:00,571.46,77.03,13.8
2022-10-29 14:00:00,559.54,68.17,15.92
2022-10-29 15:00:00,569.78,69.52,12.59
2022-10-29 16:00:00,549.74,70.48,15.6
2022-10-29 17:00:00,569.8,68.01,12.49
2022-10-29 18:00:00,571.03,60.74,16.35
2022-10-29 19:00:00,554.2,77.15,14.77
2022-10-29 20:00:00,548.52,68.81,11.29
2022-10-29 21:00:00,542.33,64.65,12.54
2022-10-29 22:00:00,518.03,72.1,12.88
2022-10-29 23:00:00,521.41,74.43,9.64
2022-10-30 00:00:00,514.41,78.48,11.57
2022-10-30 01:00:00,516.43,80.32,11.89
2022-10-30 02:00:00,520.98,78.25,8.63
2022-10-30 03:00:00,487.04,74.63,11.95
2022-10-30 04:00:00,499.82,83.54,10.97
2022-10-30 05:00:00,524.63,76.98,12.41
2022-10-30 06:00:00,493.85,87.25,11.34
2022-10-30 07:00:00,496.96,80.16,10.76
2022-10-30 08:00:00,518.03,84.15,11.11
2022-10-30 09:00:00,534.39,78.36,12.63
2022-10-30 10:00:00,529.19,77.28,13.28
2022-10-30 11:00:00,556.31,74.27,15.25
2022-10-30 12:00:00,556.15,77.51,14.04
2022-10-30 13:00:00,561.95,70.75,12.82
2022-10-30 14:00:00,562.33,73.69,14.33
2022-10-30 15:00:00,592.0,67.26,13.12
2022-10-30 16:00:00,555.22,67.26,15.3
2022-10-30 17:00:00,527.54,67.4,15.38
2022-10-30 18:00:00,579.06,67.54,15.28
2022-10-30 19:00:00,543.84,64.04,13.61
2022-10-30 20:00:00,546.62,70.54,12.66
2022-10-30 21:00:00,557.92,68.39,12.39
2022-10-30 22:00:00,506.95,72.9,12.39
2022-10-30 23:00:00,504.85,72.87,11.41
2022-10-31 00:00:00,492.68,77.05,19.81
2022-10-31 01:00:00,498.77,75.63,16.96
2022-10-31 02:00:00,512.58,76.24,16.98
2022-10-31 03:00:00,510.78,82.15,16.1
2022-10-31 04:00:00,505.84,80.2,16.23
2022-10-31 05:00:00,481.22,87.83,15.87
2022-10-31 06:00:00,470.35,83.24,16.64
2022-10-31 07:00:00,510.11,77.92,20.75
2022-10-31 08:00:00,507.92,79.88,19.88
2022-10-31 09:00:00,528.62,77.16,19.59
2022-10-31 10:00:00,539.55,82.76,19.99
2022-10-31 11:00:00,538.45,79.78,22.98
2022-10-31 12:00:00,554.7,74.79,21.12
2022-10-31 13:00:00,552.76,73.94,20.55
2022-10-31 14:00:00,561.97,70.69,23.47
2022-10-31 15:00:00,546.51,72.35,21.89
2022-10-31 16:00:00,555.61,69.89,21.36
2022-10-31 17:00:00,560.54,69.72,21.29
2022-10-31 18:00:00,567.31,66.33,22.62
2022-10-31 19:00:00,544.8,65.06,21.37
2022-10-31 20:00:00,552.82,70.4,19.6
2022-10-31 21:00:00,534.28,74.77,20.56
2022-10-31 22:00:00,529.22,74.87,18.23
2022-10-31 23:00:00,536.07,78.47,16.54
2022-11-01 00:00:00,486.8,85.57,16.31
2022-11-01 01:00:00,491.23,83.68,17.43
2022-11-01 02:00:00,483.75,85.92,16.16
2022-11-01 03:00:00,467.91,95.49,17.13
2022-11-01 04:00:00,491.52,85.41,18.44
2022-11-01 05:00:00,513.65,97.99,16.65
2022-11-01 06:00:00,500.73,90.24,21.08
2022-11-01 07:00:00,512.26,99.46,18.83
2022-11-01 08:00:00,531.34,91.68,19.01
2022-11-01 09:00:00,541.64,93.19,18.4
2022-11-01 10:00:00,527.98,97.35,20.36
2022-11-01 11:00:00,556.68,85.92,21.2
2022-11-01 12:00:00,544.68,83.79,23.03
2022-11-01 13:00:00,536.76,80.5,21.88
2022-11-01 14:00:00,545.1,77.49,23.42
2022-11-01 15:00:00,534.88,78.19,23.05
2022-11-01 16:00:00,544.98,76.13,24.07
2022-11-01 17:00:00,552.22,72.9,23.86
2022-11-01 18:00:00,567.05,76.26,22.52
2022-11-01 19:00:00,576.52,78.85,22.42
2022-11-01 20:00:00,524.27,74.94,22.12
2022-11-01 21:00:00,544.16,78.77,20.64
2022-11-01 22:00:00,515.37,85.92,19.56
2022-11-01 23:00:00,530.74,77.96,18.99
2022-11-02 00:00:00,514.73,91.76,19.81
2022-11-02 01:00:00,483.22,84.71,17.54
2022-11-02 02:00:00,519.91,89.7,17.98
2022-11-02 03:00:00,493.84,95.13,16.19
2022-11-02 04:00:00,493.69,97.47,18.9
2022-11-02 05:00:00,486.36,94.37,17.94
2022-11-02 06:00:00,495.19,90.57,17.46
2022-11-02 07:00:00,515.71,89.99,18.42
2022-11-02 08:00:00,512.16,89.92,18.96
2022-11-02 09:00:00,526.66,97.27,20.01
2022-11-02 10:00:00,534.45,87.66,21.03
2022-11-02 11:00:00,556.19,88.2,21.26
2022-11-02 12:00:00,538.16,81.35,20.22
2022-11-02 13:00:00,527.17,78.88,24.73
2022-11-02 14:00:00,570.03,81.09,23.22
2022-11-02 15:00:00,552.11,78.21,23.33
2022-11-02 16:00:00,575.02,77.19,22.84
2022-11-02 17:00:00,563.34,72.1,23.69
2022-11-02 18:00:00,553.03,76.74,22.18
2022-11-02 19:00:00,555.94,82.7,21.13
2022-11-02 20:00:00,574.27,75.09,20.48
2022-11-02 21:00:00,569.43,82.48,21.5
2022-11-02 22:00:00,532.02,68.87,19.47
2022-11-02 23:00:00,526.03,80.12,18.46
2022-11-03 00:00:00,532.84,78.31,17.36
2022-11-03 01:00:00,498.0,91.4,17.02
2022-11-03 02:00:00,510.98,92.08,18.4
2022-11-03 03:00:00,502.53,87.04,15.9
2022-11-03 04:00:00,506.41,92.94,17.91
2022-11-03 05:00:00,489.91,96.93,18.25
2022-11-03 06:00:00,481.16,97.75,18.14
2022-11-03 07:00:00,478.2,91.31,18.27
2022-11-03 08:00:00,498.24,84.2,17.45
2022-11-03 09:00:00,514.85,87.51,20.8
2022-11-03 10:00:00,524.62,91.68,18.86
2022-11-03 11:00:00,565.44,94.42,21.7
2022-11-03 12:00:00,559.89,84.81,22.18
2022-11-03 13:00:00,534.89,80.81,23.52
2022-11-03 14:00:00,559.23,89.4,21.82
2022-11-03 15:00:00,550.98,80.76,21.87
2022-11-03 16:00:00,554.04,73.77,23.54
2022-11-03 17:00:00,560.37,76.86,22.39
2022-11-03 18:00:00,564.29,80.5,19.7
2022-11-03 19:00:00,545.62,77.03,21.49
2022-11-03 20:00:00,560.96,80.85,22.95
2022-11-03 21:00:00,521.14,73.73,20.66
2022-11-03 22:00:00,531.08,75.98,17.8
2022-11-03 23:00:00,562.59,80.36,19.06
2022-11-04 00:00:00,520.04,84.01,19.06
2022-11-04 01:00:00,532.18,88.24,15.33
2022-11-04 02:00:00,507.35,91.23,16.76
2022-11-04 03:00:00,511.63,99.29,18.56
2022-11-04 04:00:00,500.85,89.34,15.27
2022-11-04 05:00:00,499.85,91.63,17.07
2022-11-04 06:00:00,493.31,90.51,17.62
2022-11-04 07:00:00,515.75,96.51,18.0
2022-11-04 08:00:00,502.23,95.9,20.87
2022-11-04 09:00:00,531.71,89.09,21.47
2022-11-04 10:00:00,545.3,96.23,20.41
2022-11-04 11:00:00,541.88,84.59,20.28
2022-11-04 12:00:00,539.01,88.6,23.65
2022-11-04 13:00:00,556.13,88.02,23.53
2022-11-04 14:00:00,549.39,76.23,22.88
2022-11-04 15:00:00,571.12,81.36,23.79
2022-11-04 16:00:00,530.83,68.53,23.67
2022-11-04 17:00:00,552.56,80.16,21.55
2022-11-04 18:00:00,525.14,73.14,21.41
2022-11-04 19:00:00,528.28,79.26,21.51
2022-11-04 20:00:00,565.46,80.71,18.46
2022-11-04 21:00:00,551.7,83.26,19.59
2022-11-04 22:00:00,520.19,84.12,18.27
2022-11-04 23:00:00,501.08,83.13,18.71
2022-11-05 00:00:00,472.23,83.67,10.27
2022-11-05 01:00:00,502.53,86.81,11.83
2022-11-05 02:00:00,542.29,85.09,11.38
2022-11-05 03:00:00,509.44,89.92,10.93
2022-11-05 04:00:00,493.31,90.91,11.68
2022-11-05 05:00:00,509.39,89.97,12.02
2022-11-05 06:00:00,481.59,86.91,11.34
2022-11-05 07:00:00,504.83,88.26,12.07
2022-11-05 08:00:00,516.49,80.9,11.68
2022-11-05 09:00:00,520.44,89.58,12.17
2022-11-05 10:00:00,540.88,90.26,15.4
2022-11-05 11:00:00,541.55,77.68,13.73
2022-11-05 12:00:00,553.33,85.83,14.36
2022-11-05 13:00:00,538.99,82.5,14.6
2022-11-05 14:00:00,567.49,76.88,15.33
2022-11-05 15:00:00,581.52,77.83,14.3
2022-11-05 16:00:00,543.75,81.75,14.35
2022-11-05 17:00:00,544.28,73.86,15.81
2022-11-05 18:00:00,575.04,77.28,12.59
2022-11-05 19:00:00,547.84,78.49,14.2
2022-11-05 20:00:00,566.06,75.19,12.52
2022-11-05 21:00:00,531.63,82.87,10.59
2022-11-05 22:00:00,552.81,82.41,12.4
2022-11-05 23:00:00,525.59,82.05,10.64
2022-11-06 00:00:00,520.57,93.27,10.02
2022-11-06 01:00:00,534.15,90.61,14.43
2022-11-06 02:00:00,500.55,83.1,11.77
2022-11-06 03:00:00,488.8,89.29,11.73
2022-11-06 04:00:00,494.97,100.56,11.05
2022-11-06 05:00:00,509.19,89.29,9.88
2022-11-06 06:00:00,481.51,93.23,11.42
2022-11-06 07:00:00,518.86,97.04,11.6
2022-11-06 08:00:00,506.92,94.21,10.19
2022-11-06 09:00:00,538.94,93.44,15.15
2022-11-06 10:00:00,493.11,91.58,13.4
2022-11-06 11:00:00,524.58,87.16,12.98
2022-11-06 12:00:00,518.0,82.23,14.53
2022-11-06 13:00:00,536.93,84.45,13.03
2022-11-06 14:00:00,557.73,79.59,13.76
2022-11-06 15:00:00,554.39,77.66,16.79
2022-11-06 16:00:00,554.5,83.26,14.26
2022-11-06 17:00:00,555.2,75.94,14.67
2022-11-06 18:00:00,558.05,82.97,14.5
2022-11-06 19:00:00,535.58,78.17,13.77
2022-11-06 20:00:00,555.6,77.51,12.86
2022-11-06 21:00:00,548.21,72.98,15.72
2022-11-06 22:00:00,536.76,88.42,11.61
2022-11-06 23:00:00,531.97,82.91,10.95
2022-11-07 00:00:00,521.14,77.05,18.47
2022-11-07 01:00:00,541.21,90.53,15.86
2022-11-07 02:00:00,504.67,88.82,18.33
2022-11-07 03:00:00,498.31,87.4,16.76
2022-11-07 04:00:00,490.4,95.19,17.26
2022-11-07 05:00:00,486.93,83.81,17.76
